"","ID","EntrezGeneID","ORF","GB_ACC","PROBE_DERIVED_FROM_TRANSCRIPT","SPOT_ID","RosettaGeneModelID"
"3585","10025935419","400958","","XM_211791","XM_211791","","HSG00218005"
"3586","10025923662","","","AI640570","non-public","","HSG00399489"
"3587","10025931039","","","XM_498069","non-public","","HSG00239226"
"3588","10025912082","54482","CCDC76","NM_019083","NM_019083","","HSG00207456"
"3589","10025924215","","","BF132562","non-public","","HSG00422283"
"3590","10025909979","80152","C16orf56","NM_025082","NM_025082","","HSG00295838"
"3591","10025912416","26959","HBP1","NM_012257","NM_012257","","HSG00249527"
"3592","10025909951","170392","OIT3","NM_152635","NM_152635","","HSG00268098"
"3593","10023813668","","","AI268016","non-public","","HSG00233862"
"3594","10023816875","3985","LIMK2","NM_016733","NM_016733","","HSG00314130"
"3595","10025914403","9931","HELZ","NM_014877","non-public","","HSG00297971"
"3596","10025935773","391088","","XM_372789","non-public","","HSG00396659"
"3597","10025910124","439940","C8orf15","NM_175076","NM_175076","","HSG00258414"
"3598","10023807830","","","BU621960","non-public","","HSG00299590"
"3599","10025919999","","","","non-public","RosettaGeneID: HSG00369254","HSG00369254"
"3600","10025909598","204","AK2","NM_172199","NM_172199","","HSG00202415"
"3601","10025932807","","","AI674379","non-public","","HSG00232061"
"3602","10023824880","","","BC044623","non-public","","HSG00210885"
"3603","10025925154","","","AI829663","non-public","","HSG00227254"
"3604","10025911114","10202","DHRS2","NM_005794","NM_005794","","HSG00288471"
"3605","10023806444","4958","OMD","NM_005014","NM_005014","","HSG00262224"
"3606","10023812677","56604","TUBB4Q","NM_020040","NM_020040","","HSG00229561"
"3607","10025932886","","","AK093500","AK093500","","HSG00299083"
"3608","10025907906","51146","A4GNT","NM_016161","NM_016161","","HSG00219486"
"3609","10023822409","64976","MRPL40","NM_003776","NM_003776","","HSG00314696"
"3610","10025916296","","","BM673520","non-public","","HSG00278315"
"3611","10025907787","280659","SSX8","NM_174961","NM_174961","","HSG00254954"
"3612","10023810753","6954","TCP11","NM_018679","NM_018679","","HSG00242328"
"3613","10023804796","57574","MARCH4","AB037820","AB037820","","HSG00214672"
"3614","10025909520","148789","B3GALNT2","NM_152490","NM_152490","","HSG00203077"
"3615","10025922889","","","BC014370","BC014370","","HSG00353069"
"3616","10025916553","","","AK055171","AK055171","","HSG00209379"
"3617","10025909779","253980","KCTD13","NM_178863","NM_178863","","HSG00296263"
"3618","10025925563","","","AK096231","AK096231","","HSG00304247"
"3619","10023820706","837","CASP4","NM_001225","NM_001225","","HSG00274146"
"3620","10031919775","440138","ALG11","NM_001004127","NM_001004127","","HSG00352088"
"3621","10025928313","","","AI436240","non-public","","HSG00269417"
